ID_Venta;Fecha;Hora;Tienda;ID_Producto;Categoria_Producto;Producto;Cantidad;Precio_Unitario;Total;Costo_Total;Margen;Margen_%;Metodo_Pago;Estado
1002;07-06-2024;18:15;Sucursal C;210;Panaderia;Donas Variadas;7;1200;8400;3500;4900;58,33;Tarjeta;Completada
1003;29-02-2024;20:11;Sucursal B;201;Lacteos;Leche Entera;1;1500;1500;800;700;46,67;Tarjeta;Completada
1004;09-01-2024;9:19;Sucursal C;209;Bebidas;Te Premium;19;4000;76000;38000;38000;50;Transferencia;Completada
1005;31-05-2024;14:35;Sucursal C;204;Lacteos;Yogurt Natural;49;3000;147000;73500;73500;50;Transferencia;Completada
1006;21-04-2024;19:17;Sucursal C;209;Bebidas;Te Premium;25;4000;100000;50000;50000;50;Efectivo;Completada
1007;23-02-2024;10:32;Sucursal E;203;Bebidas;Jugo Naranja;41;2000;82000;36900;45100;55;Efectivo;Completada
1008;17-02-2024;7:47;Sucursal C;204;Lacteos;Yogurt Natural;17;3000;51000;25500;25500;50;Efectivo;Completada
1009;28-04-2024;17:26;Sucursal E;206;Lacteos;Queso Fresco;8;4500;36000;20000;16000;44,44;Tarjeta;Completada
1010;28-01-2024;9:03;Sucursal E;201;Lacteos;Leche Entera;48;1500;72000;38400;33600;46,67;Efectivo;Completada
1011;17-01-2024;11:23;Sucursal C;205;Panaderia;Croissant Chocolate;41;1800;73800;28700;45100;61,11;Efectivo;Completada
1012;04-04-2024;10:20;Sucursal D;203;Bebidas;Jugo Naranja;33;2000;66000;29700;36300;55;Efectivo;Completada
1013;07-03-2024;21:53;Sucursal A;202;Panaderia;Pan Integral;42;2500;105000;50400;54600;52;Tarjeta;Completada
1014;24-01-2024;16:01;Sucursal B;202;Panaderia;Pan Integral;27;2500;67500;32400;35100;52;Efectivo;Completada
1015;16-05-2024;13:25;Sucursal E;206;Lacteos;Queso Fresco;42;4500;189000;105000;84000;44,44;Tarjeta;Completada
1016;13-01-2024;19:19;Sucursal A;210;Panaderia;Donas Variadas;36;1200;43200;18000;25200;58,33;Tarjeta;Completada
1017;23-05-2024;8:31;Sucursal D;203;Bebidas;Jugo Naranja;34;2000;68000;30600;37400;55;Tarjeta;Completada
1018;01-06-2024;16:57;Sucursal E;210;Panaderia;Donas Variadas;22;1200;26400;11000;15400;58,33;Efectivo;Completada
1019;10-03-2024;7:07;Sucursal C;206;Lacteos;Queso Fresco;37;4500;166500;92500;74000;44,44;Tarjeta;Completada
1020;05-01-2024;19:31;Sucursal D;207;Bebidas;Cafe Molido;6;5500;33000;18000;15000;45,45;Tarjeta;Completada
1021;24-02-2024;19:49;Sucursal D;208;Lacteos;Mantequilla;16;3500;56000;28800;27200;48,57;Tarjeta;Completada
1022;24-05-2024;16:54;Sucursal C;208;Lacteos;Mantequilla;28;3500;98000;50400;47600;48,57;Efectivo;Completada
1023;02-03-2024;11:00;Sucursal A;207;Bebidas;Cafe Molido;12;5500;66000;36000;30000;45,45;Efectivo;Completada
1024;03-02-2024;19:52;Sucursal A;206;Lacteos;Queso Fresco;40;4500;180000;100000;80000;44,44;Tarjeta;Completada
1025;09-03-2024;18:25;Sucursal E;206;Lacteos;Queso Fresco;3;4500;13500;7500;6000;44,44;Efectivo;Completada
1026;29-01-2024;20:51;Sucursal A;205;Panaderia;Croissant Chocolate;30;1800;54000;21000;33000;61,11;Efectivo;Completada
1027;24-06-2024;20:29;Sucursal D;205;Panaderia;Croissant Chocolate;33;1800;59400;23100;36300;61,11;Tarjeta;Completada
1028;09-03-2024;16:57;Sucursal B;204;Lacteos;Yogurt Natural;31;3000;93000;46500;46500;50;Transferencia;Completada
1029;09-03-2024;18:31;Sucursal B;204;Lacteos;Yogurt Natural;49;3000;147000;73500;73500;50;Transferencia;Completada
1030;26-06-2024;7:50;Sucursal D;203;Bebidas;Jugo Naranja;33;2000;66000;29700;36300;55;Tarjeta;Completada
1031;05-03-2024;18:28;Sucursal B;201;Lacteos;Leche Entera;43;1500;64500;34400;30100;46,67;Efectivo;Completada
1032;09-05-2024;13:16;Sucursal B;203;Bebidas;Jugo Naranja;35;2000;70000;31500;38500;55;Tarjeta;Completada
1033;30-03-2024;13:03;Sucursal C;202;Panaderia;Pan Integral;41;2500;102500;49200;53300;52;Tarjeta;Completada
1034;15-03-2024;11:56;Sucursal D;208;Lacteos;Mantequilla;25;3500;87500;45000;42500;48,57;Tarjeta;Completada
1035;31-05-2024;10:17;Sucursal A;203;Bebidas;Jugo Naranja;35;2000;70000;31500;38500;55;Efectivo;Completada
1036;30-05-2024;13:12;Sucursal D;205;Panaderia;Croissant Chocolate;49;1800;88200;34300;53900;61,11;Tarjeta;Completada
1037;30-01-2024;15:21;Sucursal A;201;Lacteos;Leche Entera;20;1500;30000;16000;14000;46,67;Efectivo;Completada
1038;09-04-2024;15:06;Sucursal C;209;Bebidas;Te Premium;12;4000;48000;24000;24000;50;Transferencia;Completada
1039;21-02-2024;11:04;Sucursal B;203;Bebidas;Jugo Naranja;47;2000;94000;42300;51700;55;Efectivo;Completada
1040;02-05-2024;15:38;Sucursal D;205;Panaderia;Croissant Chocolate;23;1800;41400;16100;25300;61,11;Efectivo;Completada
1041;15-06-2024;13:28;Sucursal E;210;Panaderia;Donas Variadas;35;1200;42000;17500;24500;58,33;Efectivo;Completada
1042;16-03-2024;7:37;Sucursal B;209;Bebidas;Te Premium;44;4000;176000;88000;88000;50;Efectivo;Completada
1043;18-06-2024;16:01;Sucursal B;209;Bebidas;Te Premium;27;4000;108000;54000;54000;50;Efectivo;Completada
1044;23-03-2024;12:51;Sucursal E;208;Lacteos;Mantequilla;1;3500;3500;1800;1700;48,57;Efectivo;Completada
1045;14-02-2024;18:30;Sucursal D;204;Lacteos;Yogurt Natural;6;3000;18000;9000;9000;50;Tarjeta;Completada
1046;15-06-2024;13:02;Sucursal B;210;Panaderia;Donas Variadas;19;1200;22800;9500;13300;58,33;Efectivo;Completada
1047;05-05-2024;14:40;Sucursal D;210;Panaderia;Donas Variadas;28;1200;33600;14000;19600;58,33;Tarjeta;Completada
1048;01-04-2024;15:55;Sucursal D;209;Bebidas;Te Premium;49;4000;196000;98000;98000;50;Tarjeta;Completada
1049;27-02-2024;18:36;Sucursal E;205;Panaderia;Croissant Chocolate;11;1800;19800;7700;12100;61,11;Efectivo;Completada
1050;25-05-2024;21:30;Sucursal A;209;Bebidas;Te Premium;14;4000;56000;28000;28000;50;Transferencia;Completada
1051;03-01-2024;18:09;Sucursal A;207;Bebidas;Cafe Molido;11;5500;60500;33000;27500;45,45;Transferencia;Completada
1052;31-05-2024;10:25;Sucursal B;205;Panaderia;Croissant Chocolate;28;1800;50400;19600;30800;61,11;Efectivo;Completada
1053;28-01-2024;17:53;Sucursal A;205;Panaderia;Croissant Chocolate;36;1800;64800;25200;39600;61,11;Efectivo;Completada
1054;05-06-2024;8:50;Sucursal E;203;Bebidas;Jugo Naranja;6;2000;12000;5400;6600;55;Tarjeta;Completada
1055;10-01-2024;11:54;Sucursal B;208;Lacteos;Mantequilla;45;3500;157500;81000;76500;48,57;Tarjeta;Completada
1056;25-05-2024;16:24;Sucursal C;201;Lacteos;Leche Entera;21;1500;31500;16800;14700;46,67;Transferencia;Completada
1057;09-06-2024;21:00;Sucursal A;202;Panaderia;Pan Integral;35;2500;87500;42000;45500;52;Efectivo;Completada
1058;04-04-2024;11:52;Sucursal C;205;Panaderia;Croissant Chocolate;23;1800;41400;16100;25300;61,11;Transferencia;Completada
1059;24-05-2024;7:50;Sucursal A;205;Panaderia;Croissant Chocolate;46;1800;82800;32200;50600;61,11;Efectivo;Completada
1060;22-04-2024;21:07;Sucursal B;208;Lacteos;Mantequilla;28;3500;98000;50400;47600;48,57;Efectivo;Completada
1061;27-04-2024;7:53;Sucursal C;203;Bebidas;Jugo Naranja;12;2000;24000;10800;13200;55;Transferencia;Completada
1062;26-02-2024;20:01;Sucursal E;201;Lacteos;Leche Entera;21;1500;31500;16800;14700;46,67;Tarjeta;Completada
1063;07-02-2024;20:14;Sucursal B;202;Panaderia;Pan Integral;18;2500;45000;21600;23400;52;Tarjeta;Completada
1064;21-02-2024;21:59;Sucursal A;209;Bebidas;Te Premium;24;4000;96000;48000;48000;50;Efectivo;Completada
1065;21-03-2024;16:55;Sucursal E;205;Panaderia;Croissant Chocolate;4;1800;7200;2800;4400;61,11;Tarjeta;Completada
1066;24-03-2024;12:52;Sucursal E;208;Lacteos;Mantequilla;34;3500;119000;61200;57800;48,57;Efectivo;Completada
1067;12-02-2024;13:15;Sucursal A;203;Bebidas;Jugo Naranja;23;2000;46000;20700;25300;55;Efectivo;Completada
1068;08-01-2024;9:31;Sucursal D;204;Lacteos;Yogurt Natural;25;3000;75000;37500;37500;50;Tarjeta;Completada
1069;26-06-2024;11:04;Sucursal C;210;Panaderia;Donas Variadas;19;1200;22800;9500;13300;58,33;Efectivo;Completada
1070;22-01-2024;15:11;Sucursal A;205;Panaderia;Croissant Chocolate;5;1800;9000;3500;5500;61,11;Efectivo;Completada
1071;18-03-2024;15:25;Sucursal E;210;Panaderia;Donas Variadas;27;1200;32400;13500;18900;58,33;Tarjeta;Completada
1072;25-02-2024;7:07;Sucursal B;201;Lacteos;Leche Entera;36;1500;54000;28800;25200;46,67;Tarjeta;Completada
1073;16-02-2024;13:13;Sucursal B;208;Lacteos;Mantequilla;28;3500;98000;50400;47600;48,57;Tarjeta;Completada
1074;14-01-2024;9:46;Sucursal C;208;Lacteos;Mantequilla;7;3500;24500;12600;11900;48,57;Tarjeta;Completada
1075;18-01-2024;15:54;Sucursal C;210;Panaderia;Donas Variadas;15;1200;18000;7500;10500;58,33;Efectivo;Completada
1076;17-01-2024;15:16;Sucursal B;207;Bebidas;Cafe Molido;44;5500;242000;132000;110000;45,45;Efectivo;Completada
1077;17-05-2024;8:46;Sucursal A;203;Bebidas;Jugo Naranja;45;2000;90000;40500;49500;55;Tarjeta;Completada
1078;20-04-2024;9:41;Sucursal A;208;Lacteos;Mantequilla;44;3500;154000;79200;74800;48,57;Efectivo;Completada
1079;26-01-2024;12:36;Sucursal C;202;Panaderia;Pan Integral;45;2500;112500;54000;58500;52;Transferencia;Completada
1080;21-01-2024;17:29;Sucursal D;206;Lacteos;Queso Fresco;30;4500;135000;75000;60000;44,44;Efectivo;Completada
1081;10-05-2024;14:30;Sucursal E;203;Bebidas;Jugo Naranja;36;2000;72000;32400;39600;55;Transferencia;Completada
1082;15-03-2024;14:37;Sucursal A;204;Lacteos;Yogurt Natural;30;3000;90000;45000;45000;50;Tarjeta;Completada
1083;19-03-2024;18:04;Sucursal B;208;Lacteos;Mantequilla;45;3500;157500;81000;76500;48,57;Efectivo;Completada
1084;19-01-2024;7:11;Sucursal A;204;Lacteos;Yogurt Natural;20;3000;60000;30000;30000;50;Efectivo;Completada
